Drop,Rise Time (in sec),Fall Time (in sec),Vrise,Vfall,Average Vrise,Average Vfall,Charge (in coulombs),Charge (in e)
1,,22.37,,0.00002235136343,0.0001582278481,0.00002107275218,3.85E-19,2.401192704
1,3.16,,0.0001582278481,,,,,
1,,25.26,,0.00001979414093,,,,
2,,19.56,,0.00002556237219,,0.00002556237219,,
3,,29.47,,0.00001696640652,0.00007716710966,0.00001973318878,1.99E-19,1.244471979
3,6.54,,0.00007645259939,,,,,
3,,24.58,,0.00002034174125,,,,
3,6.42,,0.00007788161994,,,,,
3,,22.84,,0.00002189141856,,,,
4,,22.81,,0.00002192021043,0.00006076408042,0.0000210941552,1.76E-19,1.096952273
4,8.24,,0.00006067961165,,,,,
4,,24.52,,0.00002039151713,,,,
4,7.61,,0.00006570302234,,,,,
4,,23.25,,0.00002150537634,,,,
4,8.22,,0.00006082725061,,,,,
4,,25.07,,0.00001994415636,,,,
4,7.79,,0.00006418485237,,,,,
4,,23.93,,0.00002089427497,,,,
4,9.04,,0.00005530973451,,,,,
4,,25.12,,0.0000199044586,,,,
4,7.94,,0.00006297229219,,,,,
4,,21.93,,0.0000227998176,,,,
4,8.07,,0.00006195786865,,,,,
4,,21.87,,0.00002286236854,,,,
4,8.58,,0.00005827505828,,,,,
4,,25.87,,0.00001932740626,,,,
4,8.6,,0.00005813953488,,,,,
4,,24.53,,0.00002038320424,,,,
4,8.59,,0.00005820721769,,,,,
4,,23.76,,0.00002104377104,,,,
4,7.76,,0.00006443298969,,,,,
4,,22.57,,0.00002215330084,,,,
4,8.55,,0.00005847953216,,,,,
4,,22.89,,0.00002184359983,,,,
5,,32.13,,0.00001556178027,0.00008037477409,0.00001605723299,1.74E-19,1.083780543
5,6.27,,0.00007974481659,,,,,
5,,35.36,,0.00001414027149,,,,
5,6.32,,0.00007911392405,,,,,
5,,26.82,,0.00001864280388,,,,
5,6.34,,0.00007886435331,,,,,
5,,33.35,,0.00001499250375,,,,
5,5.68,,0.00008802816901,,,,,
5,,30.89,,0.00001618646811,,,,
5,5.95,,0.00008403361345,,,,,
5,,29.31,,0.00001705902422,,,,
5,6.9,,0.00007246376812,,,,,
5,,31.61,,0.00001581777918,,,,
6,,15.57,,0.00003211303789,0.00008760938829,0.00003127680514,3.26E-19,2.036108941
6,5.6,,0.00008928571429,,,,,
