Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,550
Conversion Gain:,1024
Coarse Gain:,4
Fine Gain:,1.50
Upper Discriminator:,2270
Lower Discriminator:,-17
Calibration Coefficients:,-48.899999999999864,2.2130434782608694
Calibration Channels:,253,598
Calibration Energies:,511.0,1274.5
Elapsed Real Time:,1239.05
Elapsed Live Time:,1201.6
Start Time:,October 06, 2021, 03:47:12
End Time:,October 06, 2021, 04:07:51
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,-48.899999999999864,1
1,-46.68695652173899,7
2,-44.47391304347813,19
3,-42.260869565217256,19
4,-40.047826086956384,32
5,-37.83478260869552,24
6,-35.62173913043465,23
7,-33.408695652173776,46
8,-31.195652173912908,5335
9,-28.98260869565204,25597
10,-26.76956521739117,44001
11,-24.5565217391303,69775
12,-22.343478260869432,93415
13,-20.13043478260856,100809
14,-17.917391304347692,86585
15,-15.704347826086824,61158
16,-13.491304347825952,39801
17,-11.27826086956508,26851
18,-9.065217391304216,18681
19,-6.8521739130433446,14147
20,-4.639130434782473,11395
21,-2.4260869565216083,10327
22,-0.21304347826073666,9712
23,2.000000000000135,8838
24,4.213043478261,8735
25,6.426086956521871,8512
26,8.639130434782743,8531
27,10.852173913043615,8677
28,13.06521739130448,8683
29,15.278260869565344,8987
30,17.491304347826215,9412
31,19.704347826087087,9790
32,21.91739130434796,10530
33,24.13043478260883,11272
34,26.343478260869702,11947
35,28.556521739130574,12482
36,30.76956521739143,12678
37,32.9826086956523,12249
38,35.195652173913174,11753
39,37.408695652174046,11135
40,39.62173913043492,10657
41,41.83478260869579,10130
42,44.04782608695665,9753
43,46.26086956521752,9415
44,48.47391304347839,9043
45,50.68695652173926,8517
46,52.900000000000134,8442
47,55.113043478261005,8132
48,57.32608695652186,7881
49,59.539130434782734,8057
50,61.752173913043606,7828
51,63.96521739130448,8001
52,66.17826086956535,7919
53,68.39130434782622,7806
54,70.60434782608709,7771
55,72.81739130434795,8035
56,75.03043478260882,7915
57,77.2434782608697,7852
58,79.45652173913055,7880
59,81.66956521739144,8036
60,83.8826086956523,7752
61,86.09565217391318,7794
62,88.30869565217404,7895
63,90.52173913043492,7873
64,92.73478260869578,8007
65,94.94782608695664,7748
66,97.16086956521752,7875
67,99.37391304347838,7826
68,101.58695652173927,7662
69,103.80000000000013,7782
70,106.01304347826101,7744
71,108.22608695652187,7799
72,110.43913043478273,7791
73,112.65217391304361,7846
74,114.86521739130447,7733
75,117.07826086956536,7770
76,119.29130434782621,7859
77,121.50434782608707,7695
78,123.71739130434796,7942
79,125.93043478260881,8043
80,128.1434782608697,8105
81,130.35652173913056,8049
82,132.56956521739144,8056
83,134.7826086956523,8367
84,136.99565217391316,8535
85,139.20869565217404,8697
86,141.4217391304349,8836
87,143.6347826086958,9096
