Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,550
Conversion Gain:,1024
Coarse Gain:,4
Fine Gain:,1.50
Upper Discriminator:,2270
Lower Discriminator:,-17
Calibration Coefficients:,-48.899999999999864,2.2130434782608694
Calibration Channels:,253,598
Calibration Energies:,511.0,1274.5
Elapsed Real Time:,1824.6
Elapsed Live Time:,1800.82
Start Time:,October 06, 2021, 04:20:34
End Time:,October 06, 2021, 04:50:58
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,-48.899999999999864,0
1,-46.68695652173899,0
2,-44.47391304347813,4
3,-42.260869565217256,6
4,-40.047826086956384,6
5,-37.83478260869552,6
6,-35.62173913043465,11
7,-33.408695652173776,20
8,-31.195652173912908,2868
9,-28.98260869565204,14970
10,-26.76956521739117,25493
11,-24.5565217391303,39124
12,-22.343478260869432,50764
13,-20.13043478260856,52563
14,-17.917391304347692,44116
15,-15.704347826086824,30851
16,-13.491304347825952,20823
17,-11.27826086956508,14357
18,-9.065217391304216,10302
19,-6.8521739130433446,8179
20,-4.639130434782473,6953
21,-2.4260869565216083,6309
22,-0.21304347826073666,5844
23,2.000000000000135,5659
24,4.213043478261,5449
25,6.426086956521871,5362
26,8.639130434782743,5213
27,10.852173913043615,5411
28,13.06521739130448,5245
29,15.278260869565344,5624
30,17.491304347826215,5948
31,19.704347826087087,6282
32,21.91739130434796,6793
33,24.13043478260883,7310
34,26.343478260869702,7997
35,28.556521739130574,8140
36,30.76956521739143,8332
37,32.9826086956523,8296
38,35.195652173913174,7718
39,37.408695652174046,7197
40,39.62173913043492,7043
41,41.83478260869579,6650
42,44.04782608695665,6277
43,46.26086956521752,6014
44,48.47391304347839,5795
45,50.68695652173926,5518
46,52.900000000000134,5278
47,55.113043478261005,5254
48,57.32608695652186,4952
49,59.539130434782734,5070
50,61.752173913043606,5085
51,63.96521739130448,5136
52,66.17826086956535,5013
53,68.39130434782622,5177
54,70.60434782608709,5119
55,72.81739130434795,5043
56,75.03043478260882,4916
57,77.2434782608697,5012
58,79.45652173913055,5052
59,81.66956521739144,5131
60,83.8826086956523,5017
61,86.09565217391318,4980
62,88.30869565217404,5003
63,90.52173913043492,4997
64,92.73478260869578,5034
65,94.94782608695664,5078
66,97.16086956521752,5052
67,99.37391304347838,5104
68,101.58695652173927,5040
69,103.80000000000013,4970
70,106.01304347826101,4981
71,108.22608695652187,4905
72,110.43913043478273,5118
73,112.65217391304361,5036
74,114.86521739130447,4996
75,117.07826086956536,4981
76,119.29130434782621,4993
77,121.50434782608707,4967
78,123.71739130434796,5141
79,125.93043478260881,5139
80,128.1434782608697,5194
81,130.35652173913056,5250
82,132.56956521739144,5293
83,134.7826086956523,5334
84,136.99565217391316,5319
85,139.20869565217404,5625
86,141.4217391304349,5651
87,143.6347826086958,5737
