Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,550
Conversion Gain:,1024
Coarse Gain:,4
Fine Gain:,1.50
Upper Discriminator:,2270
Lower Discriminator:,-17
Calibration Coefficients:,-48.899999999999864,2.2130434782608694
Calibration Channels:,253,598
Calibration Energies:,511.0,1274.5
Elapsed Real Time:,1221.56
Elapsed Live Time:,1201.72
Start Time:,October 06, 2021, 03:37:30
End Time:,October 06, 2021, 03:42:18
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,494,551,28737,21660,28,1106
2,294,350,456824,385712,27,662

Channel Data:
Channel,Energy,Counts
0,-48.899999999999864,0
1,-46.68695652173899,0
2,-44.47391304347813,5
3,-42.260869565217256,4
4,-40.047826086956384,3
5,-37.83478260869552,4
6,-35.62173913043465,8
7,-33.408695652173776,12
8,-31.195652173912908,2383
9,-28.98260869565204,12196
10,-26.76956521739117,20657
11,-24.5565217391303,33139
12,-22.343478260869432,44892
13,-20.13043478260856,49157
14,-17.917391304347692,42226
15,-15.704347826086824,30068
16,-13.491304347825952,19680
17,-11.27826086956508,13421
18,-9.065217391304216,9584
19,-6.8521739130433446,7252
20,-4.639130434782473,5879
21,-2.4260869565216083,5277
22,-0.21304347826073666,4937
23,2.000000000000135,4672
24,4.213043478261,4512
25,6.426086956521871,4373
26,8.639130434782743,4487
27,10.852173913043615,4408
28,13.06521739130448,4672
29,15.278260869565344,4587
30,17.491304347826215,4875
31,19.704347826087087,4998
32,21.91739130434796,5445
33,24.13043478260883,5887
34,26.343478260869702,6259
35,28.556521739130574,6558
36,30.76956521739143,6553
37,32.9826086956523,6571
38,35.195652173913174,6374
39,37.408695652174046,6062
40,39.62173913043492,5607
41,41.83478260869579,5405
42,44.04782608695665,5135
43,46.26086956521752,5025
44,48.47391304347839,4720
45,50.68695652173926,4719
46,52.900000000000134,4429
47,55.113043478261005,4336
48,57.32608695652186,4191
49,59.539130434782734,4224
50,61.752173913043606,4154
51,63.96521739130448,4279
52,66.17826086956535,4115
53,68.39130434782622,4245
54,70.60434782608709,4221
55,72.81739130434795,4238
56,75.03043478260882,4148
57,77.2434782608697,4205
58,79.45652173913055,4182
59,81.66956521739144,4204
60,83.8826086956523,4148
61,86.09565217391318,4193
62,88.30869565217404,4091
63,90.52173913043492,4097
64,92.73478260869578,4249
65,94.94782608695664,4216
66,97.16086956521752,4192
67,99.37391304347838,4135
68,101.58695652173927,4108
69,103.80000000000013,4066
70,106.01304347826101,4043
71,108.22608695652187,4070
72,110.43913043478273,4094
73,112.65217391304361,4041
74,114.86521739130447,4179
75,117.07826086956536,4198
76,119.29130434782621,4181
77,121.50434782608707,4155
78,123.71739130434796,4123
79,125.93043478260881,4012
80,128.1434782608697,4092
81,130.35652173913056,4239
82,132.56956521739144,4448
83,134.7826086956523,4408
84,136.99565217391316,4501
85,139.20869565217404,4532
